,assists,goals,h_a,id,key_passes,own_goals,player,player_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,time,xA,xG,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,fixture,round
130,0,0,h,341267,1,0,Luka Milivojevic,5549,MC,9,0,0,0,0,78,90,0.06846261024475098,0,0.0866408720612526,0.0866408720612526,1,Crystal Palace,Everton,7,8,7,8,4,1
131,0,0,h,341269,0,0,Max Meyer,338,ML,10,0,0,0,3,78,90,0,0.22769547998905182,0,0.14625144004821777,1,Crystal Palace,Everton,7,8,7,8,4,1
132,0,0,h,341271,1,0,Jordan Ayew,672,FW,15,0,341273,0,1,78,68,0.05961056798696518,0.526124894618988,0.0866408720612526,0.6723763346672058,0,Crystal Palace,Everton,7,8,7,8,4,1
133,0,0,h,341270,1,0,Christian Benteke,606,FW,15,0,341272,0,0,78,86,0.526124894618988,0,0.0866408720612526,0.6127657294273376,0,Crystal Palace,Everton,7,8,7,8,4,1
134,0,0,h,341272,0,0,Connor Wickham,519,Sub,17,0,0,341270,0,78,4,0,0,0,0,0,Crystal Palace,Everton,7,8,7,8,4,1
135,0,0,h,341273,0,0,Wilfried Zaha,522,Sub,17,0,0,341271,1,78,22,0,0.049307260662317276,0,0.049307260662317276,0,Crystal Palace,Everton,7,8,7,8,4,1
136,0,0,a,341301,0,0,Mat Ryan,2385,GK,1,0,0,0,0,220,90,0,0,0.3946564495563507,0.3946564495563507,0,Watford,Brighton,4,18,18,4,7,1
137,1,0,a,341304,1,0,Lewis Dunk,6048,DC,3,0,0,0,0,220,90,0.3946564495563507,0,0.3946564495563507,0.3946564495563507,1,Watford,Brighton,4,18,18,4,7,1
138,0,0,a,341302,0,0,Shane Duffy,6047,DC,3,0,0,0,0,220,90,0,0,0.3946564495563507,0.3946564495563507,0,Watford,Brighton,4,18,18,4,7,1
139,0,0,a,341303,0,0,Dan Burn,7382,DC,3,0,0,0,1,220,90,0,0.017100946977734566,0.45274174213409424,0.46984267234802246,0,Watford,Brighton,4,18,18,4,7,1
140,0,0,a,341305,1,0,Martin Montoya,1950,DMR,5,0,0,0,0,220,90,0.05808527395129204,0,0.4226815104484558,0.4226815104484558,0,Watford,Brighton,4,18,18,4,7,1
141,0,0,a,341306,0,0,Solly March,6049,DML,6,0,341312,0,0,220,90,0,0,0.3946564495563507,0.3946564495563507,0,Watford,Brighton,4,18,18,4,7,1
142,1,0,a,341307,1,0,Davy Propper,6050,MC,9,0,0,0,1,220,90,0.36459624767303467,0.021077346056699753,0.3946564495563507,0.7803300619125366,0,Watford,Brighton,4,18,18,4,7,1
143,0,0,a,341308,1,0,Dale Stephens,6051,MC,9,0,0,0,0,220,90,0.021077346056699753,0,0.3946564495563507,0.41573381423950195,0,Watford,Brighton,4,18,18,4,7,1
144,0,0,a,341309,0,0,Pascal Groß,239,FWR,14,0,0,0,0,220,90,0,0,0.05808527395129204,0.05808527395129204,0,Watford,Brighton,4,18,18,4,7,1
145,0,0,a,341310,0,0,Glenn Murray,882,FW,15,0,341313,0,0,220,65,0,0,0,0,0,Watford,Brighton,4,18,18,4,7,1
