id,Name,web_name,Team number,Team,Team games,Played
300,Mark Duffy,Duffy,15,Sheffield Utd,28,0
301,John Fleck,Fleck,15,Sheffield Utd,28,25
302,Oliver Norwood,Norwood,15,Sheffield Utd,28,28
303,David McGoldrick,McGoldrick,15,Sheffield Utd,28,21
423,Chris Basham,Basham,15,Sheffield Utd,28,28
436,Simon Moore,Moore,15,Sheffield Utd,28,1
441,Luke Freeman,Freeman,15,Sheffield Utd,28,9
444,Phil Jagielka,Jagielka,15,Sheffield Utd,28,4
453,Callum Robinson,Callum Robinson,15,Sheffield Utd,28,16
456,Ravel Morrison,Morrison,15,Sheffield Utd,28,1
471,Dean Henderson,Henderson,15,Sheffield Utd,28,27
472,Ben Osborn,Osborn,15,Sheffield Utd,28,7
501,Oliver McBurnie,McBurnie,15,Sheffield Utd,28,26
521,Michael Verrips,Verrips,15,Sheffield Utd,28,0
522,Muhamed Besic,Besic,15,Sheffield Utd,28,9
547,Leon Clarke,Clarke,15,Sheffield Utd,28,1
591,Jack Rodwell,Rodwell,15,Sheffield Utd,28,0
611,Jack Robinson,Jack Robinson,15,Sheffield Utd,28,0
621,Sander Berge,Berge,15,Sheffield Utd,28,4
622,Richairo Zivkovic,Zivkovic,15,Sheffield Utd,28,0
625,Panagiotis Retsos,Retsos,15,Sheffield Utd,28,0
304,Jannik Vestergaard,Vestergaard,16,Southampton,29,14
305,Ryan Bertrand,Bertrand,16,Southampton,29,24
306,Yan Valery,Valery,16,Southampton,29,9
307,Jan Bednarek,Bednarek,16,Southampton,29,27
308,Jack Stephens,Stephens,16,Southampton,29,21
310,Maya Yoshida,Yoshida,16,Southampton,29,8
311,Kayne Ramsay,Ramsay,16,Southampton,29,0
312,Charlie Austin,Austin,16,Southampton,29,0
313,Danny Ings,Ings,16,Southampton,29,29
314,Michael Obafemi,Obafemi,16,Southampton,29,15
315,Shane Long,Long,16,Southampton,29,19
316,Sam Gallagher,Gallagher,16,Southampton,29,0
317,Fraser Forster,Forster,16,Southampton,29,0
318,Alex McCarthy,McCarthy,16,Southampton,29,19
319,Angus Gunn,Gunn,16,Southampton,29,10
320,Nathan Redmond,Redmond,16,Southampton,29,23
321,James Ward-Prowse,Ward-Prowse,16,Southampton,29,29
