,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,yellow_cards,id,gameweek,fixture,team,teamAgainst,side
146,0,0,24,0,0.8,1,0,2.8,False,27.6,90,0,0,0,0,0,0.0,2,0,255,1,10,13,1,home
147,0,0,10,0,11.1,1,0,2.2,False,8.4,90,0,0,0,0,0,2.0,2,0,256,1,10,13,1,home
148,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,257,1,10,13,1,home
149,0,0,13,0,0.4,1,0,2.0,False,19.6,90,0,0,0,0,0,0.0,2,0,258,1,10,13,1,home
150,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,259,1,10,13,1,home
151,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,272,1,1,14,10,away
152,0,0,18,0,0.1,4,0,3.1,False,23.8,90,0,0,0,0,0,7.0,0,0,273,1,1,14,10,away
153,0,0,16,0,1.4,4,0,2.7,False,25.8,90,0,0,0,0,0,0.0,0,0,274,1,1,14,10,away
154,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,275,1,1,14,10,away
155,0,0,15,0,25.1,4,0,4.9,False,24.2,90,0,0,0,0,0,0.0,0,0,276,1,1,14,10,away
156,0,0,2,0,0.0,4,0,0.9,False,8.6,90,1,0,0,0,0,0.0,-2,0,277,1,1,14,10,away
157,0,0,11,0,3.1,1,0,1.5,False,10.2,90,0,0,0,0,0,2.0,2,0,291,1,2,15,3,away
158,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,292,1,2,15,3,away
159,0,0,12,0,4.6,1,0,2.0,False,15.6,90,0,0,0,0,0,0.0,2,0,293,1,2,15,3,away
160,0,0,1,0,3.8,1,0,0.7,False,0.4,90,0,0,0,0,0,3.0,2,0,294,1,2,15,3,away
161,0,0,16,0,0.3,1,0,2.2,False,19.6,90,0,0,0,0,0,2.0,2,0,295,1,2,15,3,away
162,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,296,1,2,15,3,away
163,0,1,20,0,27.2,1,0,3.5,False,4.8,77,0,0,0,0,0,3.0,3,0,297,1,2,15,3,away
164,0,0,13,0,1.3,3,0,5.1,False,16.4,90,0,0,0,0,0,33.0,1,0,304,1,3,16,5,away
165,0,0,8,0,6.7,3,0,1.9,False,5.4,90,0,0,0,0,0,7.0,1,0,305,1,3,16,5,away
166,0,0,5,0,15.2,3,0,2.9,False,7.8,90,0,0,0,0,0,6.0,1,0,306,1,3,16,5,away
167,0,0,13,0,10.8,3,0,4.1,False,20.4,90,0,0,0,0,0,10.0,1,0,307,1,3,16,5,away
168,0,0,10,0,0.1,2,0,1.3,False,10.6,72,0,0,0,0,0,2.0,1,0,308,1,3,16,5,away
169,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,309,1,6,2,17,away
170,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,310,1,3,16,5,away
171,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,311,1,3,16,5,away
172,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,329,1,6,17,2,home
173,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,330,1,6,17,2,home
174,0,0,17,0,26.5,1,0,5.2,False,17.6,90,0,0,0,0,0,8.0,2,0,331,1,6,17,2,home
175,0,0,13,0,53.0,1,0,7.0,False,15.2,90,0,0,0,0,0,2.0,2,0,332,1,6,17,2,home
176,0,0,14,0,11.8,1,0,4.8,False,15.2,90,0,0,0,0,0,21.0,2,0,333,1,6,17,2,home
177,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,334,1,6,17,2,home
178,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,335,1,6,17,2,home
179,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,336,1,6,17,2,home
180,0,0,20,0,19.3,1,0,5.4,False,20.2,90,0,0,0,0,0,14.0,2,0,337,1,6,17,2,home
181,0,0,7,0,3.8,3,0,1.6,False,12.6,90,0,0,0,0,0,0.0,1,0,353,1,7,18,4,home
182,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,354,1,7,18,4,home
183,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,355,1,7,18,4,home
184,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,356,1,7,18,4,home
185,0,0,16,0,34.9,3,0,5.9,False,17.2,90,0,0,0,0,0,7.0,1,0,357,1,7,18,4,home
186,0,0,10,0,0.3,3,0,1.1,False,10.4,90,0,0,0,0,0,0.0,1,0,358,1,7,18,4,home
187,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,359,1,7,18,4,home
188,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,360,1,7,18,4,home
189,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,361,1,7,18,4,home
190,0,0,7,0,1.5,5,0,1.1,False,9.0,90,0,0,0,0,0,0.0,0,0,376,1,8,19,11,home
191,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,377,1,8,19,11,home
192,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,378,1,8,19,11,home
193,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,379,1,8,19,11,home
194,0,0,11,0,1.8,5,0,1.3,False,11.4,90,0,0,0,0,0,0.0,0,0,380,1,8,19,11,home
195,0,0,3,0,0.3,5,0,1.2,False,5.0,90,0,0,0,0,0,7.0,0,0,381,1,8,19,11,home
196,0,0,6,0,0.4,5,0,0.6,False,5.6,90,0,0,0,0,0,0.0,-1,1,382,1,8,19,11,home
197,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,383,1,8,19,11,home
198,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,384,1,8,19,11,home
199,0,0,16,1,1.8,0,0,0.2,False,0.0,90,0,0,0,0,0,0.0,6,0,401,1,5,20,9,away
200,0,0,18,1,12.3,0,0,3.0,False,18.0,90,0,0,0,0,0,0.0,5,1,402,1,5,20,9,away
201,0,0,20,1,0.0,0,0,1.0,False,10.0,90,0,0,0,0,0,0.0,6,0,403,1,5,20,9,away
202,0,0,22,1,0.4,0,0,1.7,False,9.0,90,0,0,0,0,0,8.0,6,0,404,1,5,20,9,away
203,0,3,32,1,0.3,0,0,3.0,False,25.2,90,0,0,0,0,0,4.0,9,0,405,1,5,20,9,away
204,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,406,1,5,20,9,away
205,0,0,3,0,0.1,0,0,0.3,False,3.0,9,0,0,0,0,0,0.0,1,0,407,1,5,20,9,away
206,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,408,1,5,20,9,away
207,0,0,9,0,1.5,1,0,1.3,False,9.6,81,0,0,0,0,0,2.0,2,0,423,1,2,15,3,away
208,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,433,1,5,9,20,home
209,0,0,13,0,0.4,3,0,5.9,False,21.2,90,0,0,0,0,0,37.0,1,0,439,1,7,18,4,home
210,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,440,1,8,11,19,away
211,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,444,1,2,15,3,away
212,1,2,31,0,10.0,3,0,8.3,False,72.6,90,0,0,0,0,0,0.0,6,0,445,1,6,2,17,away
213,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,446,1,2,3,15,home
214,2,2,43,1,25.1,0,0,8.3,True,56.8,90,0,0,0,0,0,1.0,14,0,447,1,3,5,16,home
215,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,452,1,6,2,17,away
216,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,454,1,1,14,10,away
217,0,0,12,0,0.0,3,0,2.8,False,27.8,90,0,0,0,0,0,0.0,1,0,455,1,6,2,17,away
218,0,0,0,0,0.0,0,0,0.0,False,0.0,0,0,0,0,0,0,0.0,0,0,458,1,6,2,17,away
219,0,0,1,0,0.6,4,0,0.3,False,0.0,90,0,0,0,0,0,8.0,-1,1,459,1,9,6,12,away
220,0,0,26,1,0.2,0,0,1.5,False,15.0,90,0,0,0,0,0,0.0,6,0,467,1,10,1,13,away
