,a,datetime,forecast,goals,h,id,isResult,xG
74,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}",2019-10-05 15:00:00,"{'w': '0.7252', 'd': '0.212', 'l': '0.0628'}","{'h': '0', 'a': '0'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",11719,True,"{'h': '1.44318', 'a': '0.353724'}"
75,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}",2019-10-05 17:30:00,"{'w': '0.1412', 'd': '0.2336', 'l': '0.6252'}","{'h': '1', 'a': '2'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",11720,True,"{'h': '1.23577', 'a': '2.0682'}"
76,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}",2019-10-06 14:00:00,"{'w': '0.4735', 'd': '0.2691', 'l': '0.2574'}","{'h': '0', 'a': '2'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}",11716,True,"{'h': '1.61884', 'a': '1.18825'}"
77,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",2019-10-06 14:00:00,"{'w': '0.1721', 'd': '0.2325', 'l': '0.5954'}","{'h': '1', 'a': '4'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}",11718,True,"{'h': '1.27044', 'a': '2.15201'}"
78,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",2019-10-06 14:00:00,"{'w': '0.5216', 'd': '0.3114', 'l': '0.167'}","{'h': '1', 'a': '0'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}",11722,True,"{'h': '1.24109', 'a': '0.683967'}"
79,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}",2019-10-06 16:30:00,"{'w': '0.2281', 'd': '0.346', 'l': '0.4259'}","{'h': '1', 'a': '0'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",11721,True,"{'h': '0.650296', 'a': '0.969204'}"
80,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}",2019-10-19 12:30:00,"{'w': '0.8303', 'd': '0.1277', 'l': '0.042'}","{'h': '2', 'a': '0'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}",11727,True,"{'h': '2.23324', 'a': '0.459112'}"
81,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}",2019-10-19 15:00:00,"{'w': '0.7539', 'd': '0.1481', 'l': '0.098'}","{'h': '2', 'a': '1'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}",11723,True,"{'h': '2.96692', 'a': '1.32184'}"
82,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}",2019-10-19 15:00:00,"{'w': '0.3837', 'd': '0.4302', 'l': '0.1861'}","{'h': '0', 'a': '0'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}",11724,True,"{'h': '0.675554', 'a': '0.402873'}"
83,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}",2019-10-19 15:00:00,"{'w': '0.8936', 'd': '0.0932', 'l': '0.0132'}","{'h': '1', 'a': '0'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}",11725,True,"{'h': '2.30068', 'a': '0.197082'}"
84,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}",2019-10-19 15:00:00,"{'w': '0.1307', 'd': '0.2209', 'l': '0.6484'}","{'h': '2', 'a': '1'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}",11728,True,"{'h': '0.8291', 'a': '1.79569'}"
85,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}",2019-10-19 15:00:00,"{'w': '0.3498', 'd': '0.3494', 'l': '0.3008'}","{'h': '1', 'a': '1'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}",11731,True,"{'h': '0.891617', 'a': '0.846851'}"
